State,Cases
Alabama,2499
Alaska,406
Arizona,3180
Arkansas,1759
California,24935
Colorado,1559
Connecticut,1259
Delaware,298
District of Columbia,1857
Florida,8923
Georgia,5156
Hawaii,334
Idaho,288
Illinois,6249
Indiana,2888
Iowa,422
Kansas,760
Kentucky,1508
Louisiana,4722
Maine,260
Maryland,4425
Massachusetts,1397
Michigan,7199
Minnesota,1005
Mississippi,1555
Missouri,3816
Montana,142
Nebraska,347
Nevada,1380
New Hampshire,192
New Jersey,3516
New Mexico,950
New York,12242
North Carolina,5007
North Dakota,71
Ohio,4873
Oklahoma,2114
Oregon,1108
Pennsylvania,6049
Rhodes Island,294
South Carolina,2965
South Dakota,125
Tennessee,3585
Texas,15223
Utah,508
Vermont,103
Virginia,3882
Washington,1930
West Virginia,746
Wisconsin,1605
Wyoming,167
