State,Cases
Alabama,2499,2639,3287,2951
Alaska,406,410,410,391
Arizona,3180,3251,3098,3342
Arkansas,1759,1721,1719,1748
California,24935,24222,23952,26674
Colorado,1559,1559,1780,1695
Connecticut,1259,1098,1171,1368
Delaware,298,281,283,317
District of Columbia,1857,1645,1746,1867
Florida,8923,9359,9396,9486
Georgia,5156,5175,5151,5606
Hawaii,334,343,307,354
Idaho,288,281,279,302
Illinois,6249,6346,5587,7689
Indiana,2888,2777,2817,2981
Iowa,422,389,451,487
Kansas,760,719,778,828
Kentucky,1508,1538,1925,1583
Louisiana,4722,4925,4835,5147
Maine,260,185,204,220
Maryland,4425,4169,4244,4474
Massachusetts,1397,1497,1428,1714
Michigan,7199,6813,6836,7600
Minnesota,1005,947,925,1098
Mississippi,1555,1653,1623,1715
Missouri,3816,3558,3489,3969
Montana,142,145,157,157
Nebraska,347,286,328,370
Nevada,1380,1361,1321,1491
New Hampshire,192,152,154,157
New Jersey,3516,3496,3370,3750
New Mexico,950,1073,1071,1178
New York,12242,12260,11020,13746
North Carolina,5007,4985,4917,5481
North Dakota,71,78,91,68
Ohio,4873,4647,4615,5023
Oklahoma,2114,2207,2142,2346
Oregon,1108,984,1066,1059
Pennsylvania,6049,5762,6036,6389
Rhodes Island,294,273,279,365
South Carolina,2965,2868,2911,2954
South Dakota,125,105,104,108
Tennessee,3585,3744,3634,3967
Texas,15223,15404,14723,16745
Utah,508,490,468,567
Vermont,103,98,94,117
Virginia,3882,3834,3806,3998
Washington,1930,1919,1891,2075
West Virginia,746,760,743,812
Wisconsin,1605,1461,1409,1716
Wyoming,167,155,123,185
