State,Cases
Alabama,2639
Alaska,410
Arizona,3251
Arkansas,1721
California,24222
Colorado,1559
Connecticut,1098
Delaware,281
District of Columbia,1645
Florida,9359
Georgia,5175
Hawaii,343
Idaho,281
Illinois,6346
Indiana,2777
Iowa,389
Kansas,719
Kentucky,1538
Louisiana,4925
Maine,185
Maryland,4169
Massachusetts,1497
Michigan,6813
Minnesota,947
Mississippi,1653
Missouri,3558
Montana,145
Nebraska,286
Nevada,1361
New Hampshire,152
New Jersey,3496
New Mexico,1073
New York,12260
North Carolina,4985
North Dakota,78
Ohio,4647
Oklahoma,2207
Oregon,984
Pennsylvania,5762
Rhodes Island,273
South Carolina,2868
South Dakota,105
Tennessee,3744
Texas,15404
Utah,490
Vermont,98
Virginia,3834
Washington,1919
West Virginia,760
Wisconsin,1461
Wyoming,155
