State,Cases
Alabama,2951
Alaska,391
Arizona,3342
Arkansas,1748
California,26674
Colorado,1695
Connecticut,1368
Delaware,317
District of Columbia,1867
Florida,9486
Georgia,5606
Hawaii,354
Idaho,302
Illinois,7689
Indiana,2981
Iowa,487
Kansas,828
Kentucky,1583
Louisiana,5147
Maine,220
Maryland,4474
Massachusetts,1714
Michigan,7600
Minnesota,1098
Mississippi,1715
Missouri,3969
Montana,157
Nebraska,370
Nevada,1491
New Hampshire,157
New Jersey,3750
New Mexico,1178
New York,13746
North Carolina,5481
North Dakota,68
Ohio,5023
Oklahoma,2346
Oregon,1059
Pennsylvania,6389
Rhodes Island,365
South Carolina,2954
South Dakota,108
Tennessee,3967
Texas,16745
Utah,567
Vermont,117
Virginia,3998
Washington,2075
West Virginia,812
Wisconsin,1716
Wyoming,185
