State,Cases
Alabama,3287
Alaska,410
Arizona,3098
Arkansas,1719
California,23952
Colorado,1780
Connecticut,1171
Delaware,283
District of Columbia,1746
Florida,9396
Georgia,5151
Hawaii,307
Idaho,279
Illinois,5587
Indiana,2817
Iowa,451
Kansas,778
Kentucky,1925
Louisiana,4835
Maine,204
Maryland,4244
Massachusetts,1428
Michigan,6836
Minnesota,925
Mississippi,1623
Missouri,3489
Montana,157
Nebraska,328
Nevada,1321
New Hampshire,154
New Jersey,3370
New Mexico,1071
New York,11020
North Carolina,4917
North Dakota,91
Ohio,4615
Oklahoma,2142
Oregon,1066
Pennsylvania,6036
Rhodes Island,279
South Carolina,2911
South Dakota,104
Tennessee,3634
Texas,14723
Utah,468
Vermont,94
Virginia,3806
Washington,1891
West Virginia,743
Wisconsin,1409
Wyoming,123
